template,categoria,ordem,nome,filename,prompt
"restaurante","Pratos Executivos",1,"Executivo do Dia","restaurante-executivo-do-dia.jpg","Executivo do Dia, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Pratos Executivos",2,"Filé de Frango Grelhado","restaurante-file-de-frango-grelhado.jpg","Filé de Frango Grelhado, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Pratos Executivos",3,"Bife Acebolado","restaurante-bife-acebolado.jpg","Bife Acebolado, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Pratos Executivos",4,"Strogonoff de Frango","restaurante-strogonoff-de-frango.jpg","Strogonoff de Frango, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Pratos Executivos",5,"Picanha na Chapa","restaurante-picanha-na-chapa.jpg","Picanha na Chapa, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Pratos Executivos",6,"Filé à Parmegiana","restaurante-file-a-parmegiana.jpg","Filé à Parmegiana, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Pratos Executivos",7,"Frango à Parmegiana","restaurante-frango-a-parmegiana.jpg","Frango à Parmegiana, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Pratos Executivos",8,"Feijoada Completa","restaurante-feijoada-completa.jpg","Feijoada Completa, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Peixes & Frutos do Mar",9,"Tilápia Grelhada na Manteiga","restaurante-tilapia-grelhada-na-manteiga.jpg","Tilápia Grelhada na Manteiga, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Peixes & Frutos do Mar",10,"Moqueca Caiçara de Peixe","restaurante-moqueca-caicara-de-peixe.jpg","Moqueca Caiçara de Peixe, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Peixes & Frutos do Mar",11,"Moqueca de Camarão","restaurante-moqueca-de-camarao.jpg","Moqueca de Camarão, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Peixes & Frutos do Mar",12,"Camarão à Paulista","restaurante-camarao-a-paulista.jpg","Camarão à Paulista, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Peixes & Frutos do Mar",13,"Peixe Frito com Pirão","restaurante-peixe-frito-com-pirao.jpg","Peixe Frito com Pirão, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Peixes & Frutos do Mar",14,"Filé de Robalo Grelhado","restaurante-file-de-robalo-grelhado.jpg","Filé de Robalo Grelhado, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Peixes & Frutos do Mar",15,"Casquinha de Siri","restaurante-casquinha-de-siri.jpg","Casquinha de Siri, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Marmitas & Marmitex",16,"Marmita Tradicional P","restaurante-marmita-tradicional-p.jpg","Marmita Tradicional P, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Marmitas & Marmitex",17,"Marmita Tradicional G","restaurante-marmita-tradicional-g.jpg","Marmita Tradicional G, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Marmitas & Marmitex",18,"Marmita Fitness","restaurante-marmita-fitness.jpg","Marmita Fitness, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Marmitas & Marmitex",19,"Marmita Low Carb","restaurante-marmita-low-carb.jpg","Marmita Low Carb, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Marmitas & Marmitex",20,"Marmitão Família (4 pessoas)","restaurante-marmitao-familia-4-pessoas.jpg","Marmitão Família (4 pessoas), traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Marmitas & Marmitex",21,"Marmita de Peixe","restaurante-marmita-de-peixe.jpg","Marmita de Peixe, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Porções",22,"Porção de Batata Frita","restaurante-porcao-de-batata-frita.jpg","Porção de Batata Frita, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Porções",23,"Porção de Mandioca Frita","restaurante-porcao-de-mandioca-frita.jpg","Porção de Mandioca Frita, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Porções",24,"Porção de Polenta Frita","restaurante-porcao-de-polenta-frita.jpg","Porção de Polenta Frita, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
